geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
A1CF,,,,,yes,,,
A2M,,,,,yes,,,
AAAS,,,,,yes,,,
AAVS1,,,,,yes,,,
ABCA1,yes,,,,yes,,,
ABCA4,,,,,yes,,,
ABCA7,,,,,,yes,,
ABCB1,,,,,yes,,,yes
ABCB4,,yes,,,,,,
ABCC11,,,,,yes,,,
ABCC2,,,,,yes,,,
ABCC3,,,,yes,yes,,,
ABCC4,,,,,yes,,,
ABCC5,,,,,yes,,,
ABCC6,,,,,yes,,,
ABCC8,,,,,yes,,,
ABCG2,,,,,yes,,,
ABLIM3,,,,yes,,,,
ABO,,,,,yes,,,
AC004231.2,,,,yes,,,,
AC004510.3,,,,yes,,,,
AC009014.3,,,,yes,,,,
AC012531.23,,,,yes,,,,
AC022816.2,,,,yes,,,,
AC093642.5,,,,yes,,,,
AC093734.1,,,,yes,,,,
AC140912.1,,,,yes,,,,
ACAN,,,,,yes,,,
ACE,,,,,yes,,,yes
ACE2,,,,yes,,,,
ACHE,,,,yes,,,,
ACKR3,,,,,yes,,,
ACOT12,,,,yes,,,,
ACOXL,,,,,yes,,,
ACP1,,,,,yes,,,
ACP5,,,,,yes,,yes,
ACR,,,,,yes,,,
ACSBG1,,,,,yes,,,
ACSM2A,,,,yes,,,,
ACSS2,,,,yes,,,,
ACTN1,,,,,yes,,,
ADA,,,yes,,yes,,yes,
ADA2,,,,,yes,,,
ADAD1,,,,,yes,,,
ADAM11,,,,,yes,,,
ADAM15,,,,,yes,,,
ADAM17,,,,,yes,yes,,
ADAM8,,,,,yes,,,
ADAMTS12,,yes,,,yes,,,
ADAMTS13,,,,,,,yes,
ADAMTS3,,,,,yes,,,
ADAMTS4,,,,,yes,,,
ADAMTS5,,,,,yes,,,
ADAMTS7,,,,,yes,,,
ADAMTS9,,,,,yes,,,
ADCY5,,,,yes,,,,
ADGB,,,,yes,,,,
ADGRE5,,,,,yes,,,
ADH6,,,,yes,,,,
ADI1,,,,,yes,,,
ADIPOQ,,,,,yes,yes,,
ADIPOR1,,,,,yes,,,
ADIPOR2,,,,,yes,,,
ADM,,,,,yes,,,yes
ADORA2A,,,,,yes,,,
ADPRH,,,,yes,,,,
ADRA1A,,,,,yes,,,
ADRA2B,,,,,yes,,,
ADRB2,,,,,yes,,,
ADRB3,,,,,yes,,,
ADRM1,,,,,yes,,,
AFF3,,,,,yes,,,
AFP,,,,,yes,,,
AGBL2,,,,,yes,,,
AGER,,,,,yes,yes,,
AGPAT1,,,,,yes,,,
AGT,,,,,,,,yes
AGTR1,,,,,,,,yes
AGTR2,,,,,,,,yes
AGXT2,,yes,,,yes,,,
AHCY,,,,,,,yes,
AHR,,,,,yes,,,
AHSA1,,,,,yes,,,
AICDA,,,,,yes,yes,,
AIF1,,,,,yes,,,yes
AIMP1,,,,,yes,,,
AIMP2,,,,,yes,,,
AIRE,,,,,yes,yes,,
AKIRIN2,,,,,yes,,,
