genes	control	control	infected	infected	infected
TSPAN6	781.128889660331	447.56834434473	494.963880501941	307.329680330252	204.326500037108
DPM1	1532.29838740523	877.970667032018	2415.12710886957	1499.58465973943	996.990868908714
SCYL3	157.981527142336	90.5196715626455	66.8898390368849	41.5327939236714	27.61285668884
C1orf112	30.4352258753808	17.4386632412552	45.6338989501794	28.334696993161	18.8381722845747
CFH	2940.50399243379	1684.83911023307	1431.56257821334	888.876313740091	590.964679874824
FUCA2	688.682957812966	394.599015971377	698.001058529528	433.398174368839	288.142466409679
GCLC	434.536450743703	248.979089611402	338.87770312284	210.413689310374	139.892419926655
NFYA	75.9638666050177	43.5254955442961	108.337234747301	67.2680351725602	44.7227946757779
STPG1	224.909121198471	128.867597057638	488.23446647164	303.151297332598	201.54852437004
NIPAL3	1957.19124540102	1121.42420651098	671.683423024966	417.05720318835	277.278258810438
LAS1L	1070.72484206213	613.499962879248	1290.6801224147	801.400516393368	532.806862215935
ENPP4	88.812155213703	50.8872604673078	55.0794338129873	34.1995556713158	22.7373923196586
SEMA3F	22.4380520931476	12.8564721630227	52.5497079288844	32.6288151023351	21.6930938237201
ANKIB1	1337.57099308548	766.396484297391	1314.28069210924	816.054425144205	542.549435350115
KRIT1	503.720705513026	288.620028221795	325.558515871742	202.143628157654	134.394113845015
RAD52	171.521681756984	98.2778593127941	53.9326400618412	33.4874961234817	22.2639833242416
MYH16	16.3797259981024	9.3851948671094	66.6372565308131	41.3759620741043	27.5085878694993
BAD	977.405863727073	560.030399555932	310.216971904924	192.617858725118	128.060956805907
LAP3	426.831682661327	244.564440070417	536.252752628886	332.966492170143	221.370997756059
HS3ST1	654.662814020467	375.106279710912	278.746102251076	173.077175674419	115.069437822797
HECW1	157.24426062407	90.0972353177582	132.158151047203	82.0587600719178	54.5563292971327
MAD1L1	59.7366826295002	34.227703641531	85.3601149452441	53.0012347819642	35.2375884717887
LASP1	2471.636856045	1416.18935123819	3029.83974763592	1881.26794251846	1250.75096526227
SNX11	64.2635756215463	36.8215060578734	167.287788128046	103.871220656364	69.0582274659917
M6PR	3091.41548227701	1771.30781795312	1879.46722092141	1166.98628516329	775.864612173124
KLHL13	35.0304355343213	20.0716094889138	14.7697360375001	9.17072625655826	6.09710847578203
CYP26B1	167.105815327722	95.7476724860698	204.092258115526	126.723607348714	84.251514965347
ICA1	1039.05704917459	595.355067946619	335.794413496732	208.499233624847	138.619604267329
DBNDD1	118.293589145433	67.7794235256615	86.7417528153323	53.8591121780193	35.8079436864511
ALS2	435.350946225723	249.445776222522	478.302386412241	296.984336247328	197.448453159657
CASP10	37.9574855148691	21.748739769139	63.0515935811987	39.1495760861822	26.0283870110761
CFLAR	938.159754108176	537.543308710093	1662.03769843766	1031.98139233853	686.107328694595
TFPI	3622.80574999898	2075.78184966976	3479.65368657246	2160.56342145577	1436.4390759131
NDUFAF7	151.976650867586	87.0790197472286	158.864714122016	98.641221572297	65.5810904485179
RBM5	569.067313847914	326.062086361147	679.753322172689	422.06791128861	280.60960138605
SLC7A2	3812.14867184741	2184.2708572674	994.742323034308	617.648786491416	410.640503905589
POLDIP2	856.385718116703	490.688723783647	996.761857710694	618.90274252934	411.474189894375
PLXND1	216.500478347709	124.049643953205	112.687707010775	69.9693014723619	46.5187171786536
AK2	838.104115323353	480.213798579248	2500.3178269415	1552.48071374159	1032.15852849962
CD38	180.07445880075	103.178397894452	128.97387391996	80.0815998989247	53.2418248935023
FKBP4	659.440603690014	377.843839978278	801.604972805544	497.727227678994	330.911294657703
KDM1A	1067.34910703277	611.56574669798	1595.23165768697	990.500629889318	658.529064854247
RBM6	1130.62272555699	647.820030796856	829.513130194297	515.055775128141	342.43208707582
CAMKK1	72.3206386165487	41.4380122359032	48.0553689397047	29.8382200321662	19.8377815639485
RECQL	1237.18250980671	708.876262158514	1696.71942818602	1053.51574128143	700.424325820787
CCDC132	147.722036069751	84.6412262843346	89.9761964068886	55.8674213783416	37.1431573548908
NDUFAB1	4226.05688229404	2421.43045399009	5364.18282888298	3330.6927211776	2214.39330456461
PDK4	9839.30166812414	5637.68670625613	974.825678774915	605.282276217407	402.418695457911
ZMYND10	8.21524733513835	4.7071420566319	22.6515092510785	14.0646244531462	9.35079060948349
ARX	192.231613366959	110.14415938806	49.7709515174395	30.9034481547935	20.5459928040853
SLC25A13	752.189685298201	430.986865981224	407.761316044101	253.184444052348	168.328328267763
ST7	97.1229509196637	55.6491494763311	172.147017499136	106.888381035327	71.0641704638229
CDC27	1227.36302121587	703.24992787606	1447.60417057748	898.836752566984	597.586824544176
HCCS	607.081634397865	347.843391258639	1120.55084354667	695.764976207474	462.575636313774
