genes	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control
THBS1	5.55966120951262	41.7229732361383	5.55966120951262	113.149371066151	5.55966120951262	64.1276574258668	12.1854854806295	64.1276574258668	9.25485326875796	41.7229732361383	9.25485326875796	64.1276574258668	9.25485326875796	113.149371066151	12.1854854806295	113.149371066151	12.1854854806295	41.7229732361383
SQSTM1	78.6476601551	239.890614610446	78.6476601551	650.564187125909	78.6476601551	368.708698355534	172.37739581428	368.708698355534	130.920307413912	239.890614610446	130.920307413912	368.708698355534	130.920307413912	650.564187125909	172.37739581428	650.564187125909	172.37739581428	239.890614610446
SLC3A2	60.596659225868	175.734388704785	60.596659225868	476.577626529699	60.596659225868	270.101428606808	132.813796262992	270.101428606808	100.8718280806	175.734388704785	100.8718280806	270.101428606808	100.8718280806	476.577626529699	132.813796262992	476.577626529699	132.813796262992	175.734388704785
JUN	9.06018864564369	44.5807106192807	9.06018864564369	120.899326606105	9.06018864564369	68.5199619455389	19.8578282080131	68.5199619455389	15.0819831178256	44.5807106192807	15.0819831178256	68.5199619455389	15.0819831178256	120.899326606105	19.8578282080131	120.899326606105	19.8578282080131	44.5807106192807
BMP2	14.6198498632393	56.7737259226875	14.6198498632393	153.965810271403	14.6198498632393	87.2604650237801	32.0433137063587	87.2604650237801	24.3368364000389	56.7737259226875	24.3368364000389	87.2604650237801	24.3368364000389	153.965810271403	32.0433137063587	153.965810271403	32.0433137063587	56.7737259226875
GDF15	6.58922809372284	37.1505924307293	6.58922809372284	100.749439510965	6.58922809372284	57.0999686691147	14.4420568518157	57.0999686691147	10.9687149744739	37.1505924307293	10.9687149744739	57.0999686691147	10.9687149744739	100.749439510965	14.4420568518157	100.749439510965	14.4420568518157	37.1505924307293
DUSP1	7.41288162601607	35.6264655527377	7.41288162601607	96.6161291475414	7.41288162601607	54.757405838028	16.2473140033946	54.757405838028	12.3398043805379	35.6264655527377	12.3398043805379	54.757405838028	12.3398043805379	96.6161291475414	16.2473140033946	96.6161291475414	16.2473140033946	35.6264655527377
TRIB3	14.8257632478436	51.6297976282378	14.8257632478436	140.015887574565	14.8257632478436	79.3543153440161	32.4946279976089	79.3543153440161	24.6796087541034	51.6297976282378	24.6796087541034	79.3543153440161	24.6796087541034	140.015887574565	32.4946279976089	140.015887574565	32.4946279976089	51.6297976282378
AREG	1.44139458262597	17.9085762287367	1.44139458262597	48.5666284016562	1.44139458262597	27.5252445428969	3.15920199029296	27.5252445428969	2.39940796064359	17.9085762287367	2.39940796064359	27.5252445428969	2.39940796064359	48.5666284016562	3.15920199029296	48.5666284016562	3.15920199029296	17.9085762287367
PPP1R15A	19.3558576514279	60.3935272092342	19.3558576514279	163.782422252508	19.3558576514279	92.8240516727852	42.4235422786279	92.8240516727852	32.2206004474569	60.3935272092342	32.2206004474569	92.8240516727852	32.2206004474569	163.782422252508	42.4235422786279	163.782422252508	42.4235422786279	60.3935272092342
PHLDA1	3.70644081144735	22.8619029833934	3.70644081144735	61.9996549456298	3.70644081144735	35.1384421796818	8.12365699827666	35.1384421796818	6.16990218767099	22.8619029833934	6.16990218767099	35.1384421796818	6.16990218767099	61.9996549456298	8.12365699827666	61.9996549456298	8.12365699827666	22.8619029833934
DAB2	9.67792875744568	36.1980131718188	9.67792875744568	98.1661206418525	9.67792875744568	55.6358669609102	21.2117709896858	55.6358669609102	16.1103001100861	36.1980131718188	16.1103001100861	55.6358669609102	16.1103001100861	98.1661206418525	21.2117709896858	98.1661206418525	21.2117709896858	36.1980131718188
PACS1	41.594075901105	102.502782177091	41.594075901105	277.979358523348	41.594075901105	157.545419005694	91.1645492185576	157.545419005694	69.239303404974	102.502782177091	69.239303404974	157.545419005694	69.239303404974	277.979358523348	91.1645492185576	277.979358523348	91.1645492185576	102.502782177091
UAP1L1	8.03062176202598	32.9592434946541	8.03062176202598	89.3828359529777	8.03062176202598	50.65792085043	17.6012568381255	50.65792085043	13.368121413096	32.9592434946541	13.368121413096	50.65792085043	13.368121413096	89.3828359529777	17.6012568381255	89.3828359529777	17.6012568381255	32.9592434946541
JUND	39.5566620797781	98.5408604428951	39.5566620797781	267.234943212856	39.5566620797781	151.455997758538	86.6990115531807	151.455997758538	65.8477359598466	98.5408604428951	65.8477359598466	151.455997758538	65.8477359598466	267.234943212856	86.6990115531807	267.234943212856	86.6990115531807	98.5408604428951
ASNS	5.14783446079433	24.1955139676814	5.14783446079433	65.6163014215428	5.14783446079433	37.1881846046947	11.2828569430389	37.1881846046947	8.56930859473789	24.1955139676814	8.56930859473789	37.1881846046947	8.56930859473789	65.6163014215428	11.2828569430389	65.6163014215428	11.2828569430389	24.1955139676814
GADD45A	2.47096054115881	16.1938479269632	2.47096054115881	43.9164221999813	2.47096054115881	24.8897298471386	5.41577133260945	24.8897298471386	4.11326812543679	16.1938479269632	4.11326812543679	24.8897298471386	4.11326812543679	43.9164221999813	5.41577133260945	43.9164221999813	5.41577133260945	16.1938479269632
MAP1B	42.212065967441	100.972415995653	42.212065967441	273.829127667302	42.212065967441	155.193266447822	92.5190398424872	155.193266447822	70.2680364823966	100.972415995653	70.2680364823966	155.193266447822	70.2680364823966	273.829127667302	92.5190398424872	273.829127667302	92.5190398424872	100.972415995653
CYR61	3.70644316660267	18.480120977311	3.70644316660267	50.116612111382	3.70644316660267	28.4037012538481	8.12366216022986	28.4037012538481	6.16990610816472	18.480120977311	6.16990610816472	28.4037012538481	6.16990610816472	50.116612111382	8.12366216022986	50.116612111382	8.12366216022986	18.480120977311
KLF6	7.00105487504096	26.1006724302726	7.00105487504096	70.7829390099885	7.00105487504096	40.1163879362161	15.3446854608576	40.1163879362161	11.6542597027611	26.1006724302726	11.6542597027611	40.1163879362161	11.6542597027611	70.7829390099885	15.3446854608576	70.7829390099885	15.3446854608576	26.1006724302726
SPTBN1	257.370779671203	539.382459388409	257.370779671203	1462.76215020674	257.370779671203	829.023698321237	564.096944154747	829.023698321237	428.430566496988	539.382459388409	428.430566496988	829.023698321237	428.430566496988	1462.76215020674	564.096944154747	1462.76215020674	564.096944154747	539.382459388409
